1000, 1000, 500, 499
844, 594
969, 594
844, 719
969, 719
594, 844
719, 844
594, 969
719, 969
844, 844
969, 844
844, 969
969, 969
31, 15
31, 47
94, 15
94, 47
31, 78
31, 110
94, 78
94, 110
157, 15
157, 47
157, 78
157, 110
282, 15
282, 47
282, 78
282, 110
407, 15
407, 47
407, 78
407, 110
532, 15
532, 47
532, 78
532, 110
657, 15
657, 47
657, 78
657, 110
782, 15
782, 47
782, 78
782, 110
907, 15
907, 47
907, 78
907, 110
31, 516
31, 548
94, 516
94, 548
31, 641
31, 673
94, 641
94, 673
31, 766
31, 798
94, 766
94, 798
31, 891
31, 923
94, 891
94, 923
31, 266
31, 298
94, 266
94, 298
31, 391
31, 423
94, 391
94, 423
31, 141
31, 173
94, 141
94, 173
157, 141
157, 173
282, 141
282, 173
407, 141
407, 173
532, 141
532, 173
657, 141
657, 173
782, 141
782, 173
907, 141
907, 173
157, 516
157, 548
157, 641
157, 673
157, 766
157, 798
157, 891
157, 923
157, 266
157, 298
157, 391
157, 423
282, 266
282, 298
407, 266
407, 298
282, 391
282, 423
407, 391
407, 423
532, 266
532, 298
657, 266
657, 298
532, 391
532, 423
657, 391
657, 423
782, 266
782, 298
907, 266
907, 298
782, 391
782, 423
907, 391
907, 423
282, 516
282, 548
407, 516
407, 548
282, 641
282, 673
407, 641
407, 673
282, 766
282, 798
407, 766
407, 798
282, 891
282, 923
407, 891
407, 923
532, 516
532, 548
657, 516
657, 548
532, 641
532, 673
657, 641
657, 673
782, 516
782, 548
907, 516
907, 548
782, 641
782, 673
907, 641
907, 673
532, 766
532, 798
657, 766
657, 798
532, 891
532, 923
657, 891
657, 923
782, 766
782, 798
907, 766
907, 798
782, 891
782, 923
907, 891
907, 923
219, 15
219, 47
219, 78
219, 110
344, 15
344, 47
344, 78
344, 110
469, 15
469, 47
469, 78
469, 110
594, 15
594, 47
594, 78
594, 110
719, 15
719, 47
719, 78
719, 110
844, 15
844, 47
844, 78
844, 110
969, 15
969, 47
969, 78
969, 110
15, 594
47, 594
78, 594
110, 594
15, 719
47, 719
78, 719
110, 719
15, 844
47, 844
78, 844
110, 844
15, 969
47, 969
78, 969
110, 969
15, 344
47, 344
78, 344
110, 344
15, 469
47, 469
78, 469
110, 469
15, 219
47, 219
78, 219
110, 219
219, 141
219, 173
344, 141
344, 173
469, 141
469, 173
594, 141
594, 173
719, 141
719, 173
844, 141
844, 173
969, 141
969, 173
219, 516
219, 548
219, 641
219, 673
219, 766
219, 798
219, 891
219, 923
219, 266
219, 298
219, 391
219, 423
344, 266
344, 298
469, 266
469, 298
344, 391
344, 423
469, 391
469, 423
594, 266
594, 298
719, 266
719, 298
594, 391
594, 423
719, 391
719, 423
844, 266
844, 298
969, 266
969, 298
844, 391
844, 423
969, 391
969, 423
344, 516
344, 548
469, 516
469, 548
344, 641
344, 673
469, 641
469, 673
344, 766
344, 798
469, 766
469, 798
344, 891
344, 923
469, 891
469, 923
594, 516
594, 548
719, 516
719, 548
594, 641
594, 673
719, 641
719, 673
844, 516
844, 548
969, 516
969, 548
844, 641
844, 673
969, 641
969, 673
594, 766
594, 798
719, 766
719, 798
594, 891
594, 923
719, 891
719, 923
844, 766
844, 798
969, 766
969, 798
844, 891
844, 923
969, 891
969, 923
141, 219
173, 219
266, 219
298, 219
391, 219
423, 219
516, 219
548, 219
641, 219
673, 219
766, 219
798, 219
891, 219
923, 219
141, 594
173, 594
141, 719
173, 719
141, 844
173, 844
141, 969
173, 969
141, 344
173, 344
141, 469
173, 469
266, 344
298, 344
391, 344
423, 344
266, 469
298, 469
391, 469
423, 469
516, 344
548, 344
641, 344
673, 344
516, 469
548, 469
641, 469
673, 469
766, 344
798, 344
891, 344
923, 344
766, 469
798, 469
891, 469
923, 469
266, 594
298, 594
391, 594
423, 594
266, 719
298, 719
391, 719
423, 719
266, 844
298, 844
391, 844
423, 844
266, 969
298, 969
391, 969
423, 969
516, 594
548, 594
641, 594
673, 594
516, 719
548, 719
641, 719
673, 719
766, 594
798, 594
891, 594
923, 594
766, 719
798, 719
891, 719
923, 719
516, 844
548, 844
641, 844
673, 844
516, 969
548, 969
641, 969
673, 969
766, 844
798, 844
891, 844
923, 844
766, 969
798, 969
891, 969
923, 969
219, 204
219, 235
344, 204
344, 235
469, 204
469, 235
594, 204
594, 235
719, 204
719, 235
844, 204
844, 235
969, 204
969, 235
219, 579
219, 610
219, 704
219, 735
219, 829
219, 860
219, 954
219, 985
219, 329
219, 360
219, 454
219, 485
344, 329
344, 360
469, 329
469, 360
344, 454
344, 485
469, 454
469, 485
594, 329
594, 360
719, 329
719, 360
594, 454
594, 485
719, 454
719, 485
844, 329
844, 360
969, 329
969, 360
844, 454
844, 485
969, 454
969, 485
344, 579
344, 610
469, 579
469, 610
344, 704
344, 735
469, 704
469, 735
344, 829
344, 860
469, 829
469, 860
344, 954
344, 985
469, 954
469, 985
594, 579
594, 610
719, 579
719, 610
594, 704
594, 735
719, 704
719, 735
